sheet,variable,measurement,type,value_set,n_observed,n_missing,derivation_rule,used_by_analyses,enters_an_analysis,why_not_used,documentation_status
02_PersonWeeks,daily_routine_impact,"This shows whether the person had to pause work or daily activities because of illness, and if so, whether they were treated at home or needed hospital care.",categorical (text),Evet - ancak İŞE ARA VEREMEDİM = 43; Evet - İŞE ARA VERDİM: Ayaktan izlem ve tedavi = 31; Hayır değişmedi - günlük aktivitelerime her zamanki gibi devam edebildim = 22; Evet - İŞE ARA VERDİM: Yatış Gerektiren izlem ve tedavi = 1,97,4632,Taken directly from the recorded response,clinical-course description of A-cluster episodes (Table 3.10),yes,,Documented in the project codebook
02_PersonWeeks,diagnostic_test,"This shows whether the person got a flu test done, and if so, what type and whether the result was positive or negative.",categorical (text),TEST YAPTIRMADIM = 91; PCR Yaptırdım: Sonuç NEGATİF = 2; HIZLI TEST YAPTIRDIM: İnfluenza Pozitif = 2; Hızlı Test Yaptırdım: Sonuç NEGATİF = 1; Henüz yaptırmadım; ancak kısa süre içinde test yaptırmayı planlıyorum = 1,97,4632,Taken directly from the recorded response,clinical-course description (Table 3.10),yes,,Documented in the project codebook
02_PersonWeeks,episode_group,"This shows how many flu episodes a physician reported during the study, grouped as none, one, or two or more.",categorical (text),2+ = 2731; 1 = 1385; 0 = 613,4729,0,Derived variable constructed for analysis,engagement/recurrence stratification,yes,,Described in this appendix
02_PersonWeeks,episode_id,"Code for one illness episode, so the weeks belonging to the same illness can be grouped together.",categorical (text),497 distinct text categories; most frequent: HEKIM-8HZRO0MZZ_E1 = 2; HEKIM-8ZYH2TET2_E3 = 2; HEKIM-TQAC7XLZZ_E1 = 2; HEKIM-7UQL4VFMM_E2 = 2,600,4129,"DERIVED from participant_id, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).","M5, M6 episode ordering",yes,,Documented in the project codebook
02_PersonWeeks,episode_number,"This shows how many illness episodes this physician had reported so far, including the current one, ranging from 0 to 12.",count,"numeric, 0 to 12; median 1 (IQR 0-2)",4729,0,Derived variable constructed for analysis,PWP gap-time episode order,yes,,Described in this appendix
02_PersonWeeks,episode_week,"This shows which week of the flu season the report covers, counted in order from the start.",ordinal,1 = 497; 2 = 103,600,4129,"DERIVED from episode_id, week_idx, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",episode-week ordering,yes,,Documented in the project codebook
02_PersonWeeks,event,"This column shows whether a physician reported a new flu-like illness episode starting during that record, with 497 such new episodes recorded.",binary,0 = 4232; 1 = 497,4729,0,Derived variable constructed for analysis,"M5, M6, M8 (identical to new_episode)",yes,,Described in this appendix
02_PersonWeeks,event_A,"Whether a new episode was judged by the reporting physician, on the weekly form (Supplement S1), to have a viral systemic (influenza-like) presentation rather than a viral local, bacterial or undetermined one.",binary,0 = 4638; 1 = 91,4729,0,"1 for an incident episode in the A cluster, 0 otherwise. 91 of the 497 episodes. The related person-week flag agent_A counts 97 A-cluster symptomatic weeks, of which 91 are incident.",M6,yes,,Described in this appendix
02_PersonWeeks,event_B,"1 in the week a new group-B illness (a viral illness affecting one area, such as a common cold) began. Group B is the comparison group chosen in advance to check the method.",binary,0 = 4388; 1 = 341,4729,0,Derived variable constructed for analysis,"M6 negative-control (B-cluster) contrast, Table 3.17",yes,,Described in this appendix
02_PersonWeeks,event_C,"This row shows whether a new bacterial-related illness episode occurred, with 43 such cases recorded out of 4,729 total observations.",binary,0 = 4686; 1 = 43,4729,0,Derived variable constructed for analysis,"M6 cluster-specific contrast, Table 3.17",yes,,Described in this appendix
02_PersonWeeks,event_D,"This shows whether the case was recorded as belonging to an unidentified group of illnesses (Cluster D), with 22 cases marked yes and 4,707 marked no.",binary,0 = 4707; 1 = 22,4729,0,Derived variable constructed for analysis,"M6 cluster-specific contrast, Table 3.17",yes,,Described in this appendix
02_PersonWeeks,female,The physician's sex as recorded on the registration questionnaire (Supplement S1).,binary,0 = 1790; 1 = 2939,4729,0,"1 = female, 0 = male. 195 of 304 registrants; 165 of the 248 reporters.","M1, M4, M7, M5",yes,,Described in this appendix
02_PersonWeeks,gap_before,"Whether the physician's preceding filed report is more than one week earlier, so that this week follows a break in reporting.",binary,0 = 4201; 1 = 528,4729,0,"1 = follows a gap, 0 = follows a contiguous filed week. 528 of 4,729 person-weeks. Enters the post-gap coding analysis on the 4,378 person-weeks that have a preceding week within the physician's own record.",M10,yes,,Described in this appendix
02_PersonWeeks,gp,"This row shows whether the physician was a general practitioner, based on 38 physicians identified as general practitioners out of the group studied.",binary,0 = 4311; 1 = 418,4729,0,"DERIVED from job_title, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",never-reporter comparison (Table 3.23),yes,,Described in this appendix
02_PersonWeeks,had_ili_prev,"Whether the physician reported having had an influenza-like illness in the previous season, from the registration questionnaire (Supplement S1).",binary,0 = 755; 1 = 3974,4729,0,"1 = yes, 0 = no. 244 of 304; 201 of the 248 reporters. The care-seeking model is fitted on the 195 of those with complete covariates. it has not been possible to trace this variable to a response field in the files supplied, so its provenance is documented as unverified.",eligibility,yes,,Described in this appendix
02_PersonWeeks,hh,"The number of people living in the physician's household, from the registration questionnaire (Supplement S1).",ordinal,1 = 937; 2 = 1513; 3 = 1326; 4 = 819; 5 = 110; 6 = 24,4729,0,"Count, 1 to 6 (6 denotes six or more).",—,yes,,Described in this appendix
02_PersonWeeks,high_risk_unit,"This column shows whether a person worked in a hospital unit considered higher risk for catching or spreading flu, based on the study's records.",categorical (text),Hiçbiri = 606; Aile Hekimliği = 340; Enfeksiyon Hastalıkları ve Klinik Mikrobiyoloji = 313; Pediatri = 307; Acil Servis = 95; Anestezi ve Reanimasyon / Yoğun Bakım = 72; Göğüs Hastalıkları = 55,1788,2941,Taken directly from the recorded response,occupational subgroup description (Table 3.8),yes,,Described in this appendix
02_PersonWeeks,high_risk_unit_flag,"This shows whether the physician works in a unit considered to have a higher chance of flu spreading, with about two-thirds marked as higher-risk.",binary,0 = 606; 1 = 1182,1788,2941,"DERIVED from high_risk_unit, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",,no,source or intermediate form of high_risk_unit; the analysis uses high_risk_unit,Documented in the project codebook
02_PersonWeeks,household_complication_risk,This shows whether someone in the person's household has health conditions that make flu complications more likely.,ordinal,1 = 1345; 2 = 2505,3850,879,Taken directly from the recorded response,,no,source or intermediate form of household_highrisk; the analysis uses household_highrisk,Documented in the project codebook
02_PersonWeeks,household_highrisk,"Whether anyone the physician lives with is at high risk of influenza complications, from the registration questionnaire (Supplement S1).",binary,0 = 2505; 1 = 1345,3850,879,"1 = yes, 0 = no, MISSING for physicians living alone, who are not counted as having no such household member. Among the 248 reporters: 72 yes, 133 no, 43 missing.",descriptive (Table 3.6),yes,,Documented in this appendix
02_PersonWeeks,household_school_children,"This shows how many children in the household attend school, ranging from none to four.",ordinal,0 = 1931; 1 = 1352; 2 = 520; 3 = 46; 4 = 1,3850,879,Taken directly from the recorded response,,no,source or intermediate form of school_kids_any; the analysis uses school_kids_any,Documented in the project codebook
02_PersonWeeks,household_size,"This shows how many people lived in each doctor's household, with ""6"" meaning six or more people.",ordinal,1 = 937; 2 = 1513; 3 = 1326; 4 = 819; 5 = 110; 6 = 24,4729,0,Taken directly from the recorded response,,no,source or intermediate form of hh; the analysis uses hh,Documented in the project codebook
02_PersonWeeks,hru,"This shows whether a flock (group of animals) was identified as at higher risk, with 1 meaning higher risk and 0 meaning not.",binary,0 = 606; 1 = 1182,1788,2941,"DERIVED from high_risk_unit_flag, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",,no,source or intermediate form of high_risk_unit; the analysis uses high_risk_unit,Documented in the project codebook
02_PersonWeeks,ili_freq_high,"This shows whether a doctor reported having 3 to 4 or more flu-like illness cases per year, based on 84 who said yes and 164 who said no.",binary,0 = 3129; 1 = 1600,4729,0,"DERIVED from ili_freq_ord, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",sensitivity coding of susceptibility,yes,,Described in this appendix
02_PersonWeeks,ili_freq_ord,"How often the physician says they normally catch a flu-like illness in a year, on a 0-to-4 scale from never to very often.",ordinal,0 = 138; 1 = 2991; 2 = 1416; 3 = 121; 4 = 63,4729,0,"DERIVED from ili_freq_per_year, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",,no,five-level form of the susceptibility variable; every model uses the four-level ili_freq_ord4 instead,Described in this appendix
02_PersonWeeks,ili_freq_ord4,"How often the physician reported normally having an influenza-like illness in a year, averaged over the preceding three seasons, on the registration questionnaire (Supplement S1).",ordinal,0 = 138; 1 = 2991; 2 = 1416; 3 = 184,4729,0,"Four ordered levels: 0 = never, 1 = one to two per year, 2 = three to four, 3 = five or more. The top two response options of the instrument are merged into level 3 (11 + 3 = 14 physicians), because neither supports a separate stratum. FOUR levels throughout; the five-level form is not used in any model.","M1, M4, M5, M6, M7, M8 (covariate)",yes,,Documented in this appendix
02_PersonWeeks,ili_freq_per_year,"This shows how often each doctor reported having flu-like symptoms in a year, ranging from never to more than 6 times.",categorical (text),Yılda 1-2 defa = 2991; Yılda 3-4 defa = 1416; Hiç = 138; Yılda 5-6 defa = 121; Yılda 6'dan fazla defa = 63,4729,0,Taken directly from the recorded response,,no,source or intermediate form of ili_freq_ord4; the analysis uses ili_freq_ord4,Documented in the project codebook
02_PersonWeeks,ili_healthcare_visit_2024_25,"This shows whether the person visited a doctor or hospital for a flu-like illness during the 2024-25 season, or treated themselves, or didn't get sick.",categorical (text),Kendi tedavimi düzenledim; geçtiğimiz yıl bir sağlık kuruluşuna başvurmadım. = 2852; Bir meslektaşımın elektif görüşü için geçtiğimiz yıl  acil polikliniği hariç bir sağlık kuruluşuna en az 1 kere ayaktan başvurdum. = 874; Tedavi ihtiyacı gerektirecek grip benzeri bir hastalık geçirmedim. = 755; Acil polikliniğe en az 1 kere başvurdum ve yatış gerektiren tedavi gerekmedi. = 241; En az 1 kere yatış gerektiren tedavi aldım. = 7,4729,0,Taken directly from the recorded response,,no,source or intermediate form of sought_care; the analysis uses sought_care,Documented in the project codebook
02_PersonWeeks,institution_type,"This shows the type of health facility where the physician worked, such as a university hospital, public hospital, health directorate, or private hospital.",categorical (text),Üniversite (Kamu ya da Vakıf) - Hastane = 2246; Sağlık Bakanlığı: Merkez - İl Sağlık Müdürlüğü - İlçe Sağlık Müdürlüğü - 112 Komuta Kontrol Birimi = 1230; Sağlık Bakanlığı - Hastane = 846; Sağlık Bakanlığı: Aile Sağlığı Merkezi = 244; Özel Hastane / Klinik = 163,4729,0,Taken directly from the recorded response,cohort description (Table 3.5),yes,,Described in this appendix
02_PersonWeeks,job_title,"This shows the doctor's job type: specialist, faculty member with an academic title, medical trainee, or general practitioner.",categorical (text),Akademik ünvanı olan hekim = 1791; Uzman hekim / Yan dal uzmanı hekim = 1714; Araştırma görevlisi (ana dal veya yan dal) hekim = 806; Pratisyen hekim = 418,4729,0,Taken directly from the recorded response,cohort description (Table 3.5),yes,,Described in this appendix
02_PersonWeeks,mask,"Whether the physician wears a mask during face-to-face examination, from the registration questionnaire (Supplement S1).",binary,0 = 1267; 1 = 521,1788,2941,"1 = yes, 0 = no. Among the 112: 43 yes, 69 no. No interaction with the aerosol share is estimable, because the cross-classification contains a cell with one physician and one episode.",M8,yes,,Described in this appendix
02_PersonWeeks,mask_use,"This shows whether the person was wearing a mask during their check-up, with most people not wearing one and some wearing one.",categorical (text),Hayır = 1267; Evet = 521,1788,2941,Taken directly from the recorded response,,no,source or intermediate form of mask; the analysis uses mask,Documented in the project codebook
02_PersonWeeks,medication_use,"This shows what treatment a patient used while recovering at home, such as pain/fever relievers like ibuprofen, antiviral drugs, or no medication at all.",categorical (text),"Ayaktan İzlem ve Tedavi: Nonsteroid Antiinflamatuar İlaç (örn. parasetamol; ibuprofen; aspirin vb.) = 63; İlaç kullanma ihtiyacım olmadı = 14; Ayaktan İzlem ve Tedavi: Nonsteroid Antiinflamatuar İlaç (örn. parasetamol; ibuprofen; aspirin vb.), Ayaktan İzlem ve Tedavi: Antiviral İlaçlar (örn. oseltamivir) = 9; Ayaktan İzlem ve Tedavi: Antiviral İlaçlar (örn. oseltamivir) = 5; Ayaktan İzlem ve Tedavi: Antibiyotik İlaçlar = 2; Yatış Gerektiren İzlem ve Tedavi = 2; Ayaktan İzlem ve Tedavi: Antiviral İlaçlar (örn. oseltamivir), Ayaktan İzlem ve Tedavi: Antibiyotik İlaçlar = 1; Ayaktan İzlem ve Tedavi: Nonsteroid Antiinflamatuar İlaç (örn. parasetamol; ibuprofen; aspirin vb.), Ayaktan İzlem ve Tedavi: Antibiyotik İlaçlar = 1",97,4632,Taken directly from the recorded response,clinical-course description (Table 3.10),yes,,Documented in the project codebook
02_PersonWeeks,monthly_oncall_shifts,"This shows how many on-call shifts the physician worked that month, with most doctors reporting none.",count,0 = 1433; 1 = 77; 2 = 48; 3 = 13; 4 = 57; 5 = 53; 6 = 30; 7 = 32; 8 = 22; 9 = 23,1788,2941,Taken directly from the recorded response,,no,source or intermediate form of oncall_n; the analysis uses oncall_n,Documented in the project codebook
02_PersonWeeks,n_episodes,"This shows how many separate flu illness periods a physician treated during the season, ranging from none to twelve.",count,0 = 613; 1 = 1385; 2 = 1008; 3 = 538; 4 = 417; 5 = 312; 6 = 243; 7 = 100; 8 = 51; 11 = 32; 12 = 30,4729,0,"DERIVED from new_episode, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",M7 recurrence descriptive,yes,,Described in this appendix
02_PersonWeeks,new_episode,"Whether the physician declared, on the weekly reporting form (Supplement S1), that an influenza-like illness began in that week, as distinct from the continuation of an illness reported the week before.",binary,0 = 4232; 1 = 497,4729,0,"1 in the week a new episode began, 0 otherwise. 497 incident episodes in 4,729 person-weeks; the 103 continuation weeks are 0 and are not at risk.","M5, M6, M8",yes,,Described in this appendix
02_PersonWeeks,obs_seq,"Where this week sits in that physician's own sequence of filed reports: 1 is their first report, 2 their second, and so on.",count,"numeric, 1 to 33; median 12 (IQR 6-19)",4729,0,"Rank of this week within that physician's own filed reports, ordered by week",panel-structure check,yes,,Described in this appendix
02_PersonWeeks,oncall_any,"This shows whether the physician worked at least one on-call shift per month, based on responses from 248 physicians.",binary,0 = 4374; 1 = 355,4729,0,"DERIVED from monthly_oncall_shifts, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",occupational subgroup description (Table 3.8),yes,,Described in this appendix
02_PersonWeeks,oncall_n,"How many primary on-call shifts the physician works in a month, from the registration questionnaire (Supplement S1).",count,0 = 1433; 1 = 77; 2 = 48; 3 = 13; 4 = 57; 5 = 53; 6 = 30; 7 = 32; 8 = 22; 9 = 23,1788,2941,"Count, 0 to 9; median 0, with 28 of the 112 taking any call.",M8,yes,,Documented in the project codebook
02_PersonWeeks,own_complication_risk_n,"This shows how many health conditions make a person more likely to have complications from the flu, from none up to three or more.",ordinal,0 = 3612; 1 = 722; 2 = 270; 3 = 64,4668,61,"DERIVED from komorbidite, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",,no,source or intermediate form of comp_risk_n; the analysis uses comp_risk_n,Documented in the project codebook
02_PersonWeeks,paeds_patients,"Whether the physician's patients are mainly children, from the primary-patient-group question on the registration questionnaire (Supplement S1).",binary,0 = 1393; 1 = 395,1788,2941,"1 = mainly children, 0 = not. 20 of the 112.",descriptive (Table 3.8),yes,,Documented in this appendix
02_PersonWeeks,participant_id,The masked identifier that links a physician's weekly reports to one another.,categorical (text),248 distinct text categories; most frequent: HEKIM-03024MPJ5 = 33; HEKIM-GUYPAYTIJ = 33; HEKIM-QR60U8T2R = 33; HEKIM-OCA28P31F = 33,4729,0,"Character identifier; 304 registrants, 248 with at least one filed report.","M5, M6, M8 frailty; M10 random intercept",yes,,Described in this appendix
02_PersonWeeks,pat_per_day,"How many patients the physician examines face to face on a typical day, from the registration questionnaire (Supplement S1).",count,"numeric, 1 to 100; median 20 (IQR 10-40)",1766,2963,"Count, 1 to 100; median 20 (IQR 10 to 40) among the 110 with a value. The two physicians of the 112 who left this item blank are the reason the occupational analysis set is 110.",M8,yes,,Described in this appendix
02_PersonWeeks,patients_per_day,"This shows how many patients a doctor sees in a typical day, ranging from just 1 to as many as 100.",count,"numeric, 1 to 100; median 20 (IQR 10-40)",1766,2963,Taken directly from the recorded response,,no,source or intermediate form of pat_per_day; the analysis uses pat_per_day,Documented in the project codebook
02_PersonWeeks,phys_active,Exact duplicate of the 'active' column: the physical-activity survey answer. Not a participation measure.,binary,0 = 2405; 1 = 2324,4729,0,Derived variable constructed for analysis,descriptive covariate profile (Table 3.15),yes,,Described in this appendix
02_PersonWeeks,physical_activity_ok,"This shows whether the person reported getting enough physical activity, with ""Evet"" meaning Yes and ""Hayır"" meaning No.",categorical (text),Hayır = 2383; Evet = 2324,4707,22,Taken directly from the recorded response,,no,source or intermediate form of active; the analysis uses active,Documented in the project codebook
02_PersonWeeks,prev_season_vaccine,"Shows whether the person got a flu vaccine the season before this study, based on what they reported.",binary,0 = 2890; 1 = 1839,4729,0,"DERIVED from preceding-season vaccination answer, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",,no,source or intermediate form of prev_vax; the analysis uses prev_vax,Documented in the project codebook
02_PersonWeeks,prev_vax,"Whether the physician was vaccinated against influenza in the previous season, from the registration questionnaire (Supplement S1).",binary,0 = 2890; 1 = 1839,4729,0,"1 = yes, 0 = no. 116 of 304; 99 of the 248 reporters.","M1, M4",yes,,Described in this appendix
02_PersonWeeks,primary_patient_group,"This shows which patient group each person belongs to: Adult, Child, Age 65 and over, or Immunosuppressed (weakened immune system).",categorical (text),Erişkin = 1318; Çocuk = 395; 65 yaş ve üzeri = 66; İmmünsüprese = 9,1788,2941,"Taken directly from the recorded response; also carried to the physician-level sheet, where it is defined for the 112 physicians who examine patients face to face (the registration questionnaire (Supplement S1))",occupational subgroup description (Table 3.8),yes,,Documented in the project codebook
02_PersonWeeks,primarycare,"This shows whether the physician worked in a primary care or public health setting, like a family health center or local health authority, at the start of the study.",binary,0 = 3255; 1 = 1474,4729,0,"DERIVED from institution_type, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",cohort description,yes,,Described in this appendix
02_PersonWeeks,province_code,"This number identifies the province where the physician works, using Türkiye's standard province numbering system.",count,"numeric, 2 to 81; median 34 (IQR 6-41)",4729,0,Taken directly from the recorded response,geographic distribution (Table 3.2),yes,,Documented in the project codebook
02_PersonWeeks,pub_transport_ord,"How much time the physician spends on public transport on a typical day, from the registration questionnaire (Supplement S1).",ordinal,0 = 3551; 1 = 413; 2 = 485; 3 = 280,4729,0,"Four ordered levels: 0 = usually none, 1 = up to 30 minutes, 2 = 31 to 90 minutes, 3 = more than 90 minutes. The instrument's 31-to-60 and 61-to-90 options are merged into level 2.",M4,yes,,Described in this appendix
02_PersonWeeks,pub_transport_user,"This person reported whether they use public transportation, with 51 saying yes and 197 saying no.",binary,0 = 3551; 1 = 1178,4729,0,"DERIVED from public_transport_time, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",M5,yes,,Described in this appendix
02_PersonWeeks,public_transport_time,"This shows how much time each day someone spends on public transportation, ranging from not using it at all to more than 90 minutes.",categorical (text),Genellikle toplu taşıma kullanmıyorum = 3551; 31-90 dakika = 454; 0-30 dakika = 413; 90 dakikadan fazla = 268; 31-60 dakika = 31; 61-90 dakika = 12,4729,0,Taken directly from the recorded response,,no,source or intermediate form of pub_transport_ord; the analysis uses pub_transport_ord,Documented in the project codebook
02_PersonWeeks,reg_week,"This shows the calendar week each patient was signed up for the study, such as week 45 of 2025.",categorical (text),26 distinct text categories; most frequent: 2025-W45 = 1039; 2025-W41 = 797; 2025-W37 = 501; 2025-W39 = 500,4729,0,Taken directly from the recorded response,accrual description (Figure 3.1.2),yes,,Described in this appendix
02_PersonWeeks,reported,Whether the registrant ever filed a weekly report during the season.,binary,1 = 4729,4729,0,"1 = at least one weekly report, 0 = none. 248 of 304 registrants.",M4,yes,,Described in this appendix
02_PersonWeeks,resident,"This shows whether the doctor was a resident (a physician still in training) when the study began, based on 54 out of the doctors surveyed.",binary,0 = 3923; 1 = 806,4729,0,"DERIVED from job_title, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",cohort description,yes,,Described in this appendix
02_PersonWeeks,respiratory_allergy,"This shows whether the person has a respiratory allergy, such as asthma or hay fever: 2,960 said no, and 1,754 said yes.",categorical (text),Hayır = 2960; Evet = 1754,4714,15,Taken directly from the recorded response,,no,source or intermediate form of allergy; the analysis uses allergy,Documented in the project codebook
02_PersonWeeks,school_kids,How many school-age children live in the physician's household.,ordinal,0 = 1931; 1 = 1352; 2 = 520; 3 = 46; 4 = 1,3850,879,Derived variable constructed for analysis,,no,source or intermediate form of school_kids_any; the analysis uses school_kids_any,Described in this appendix
02_PersonWeeks,school_kids_any,"Whether at least one school-age child lives in the physician's household, from the household composition question on the registration questionnaire (Supplement S1).",binary,0 = 2810; 1 = 1919,4729,0,"1 if the reported number of school-age children is one or more, else 0. Physicians who reported living alone and left the count blank are set to 0 (63 records, all with household size 1). 112 of 304 registrants.","M1, M4, M5, M6, M7, M8",yes,,Described in this appendix
02_PersonWeeks,sees_pat,"Whether the physician examines patients face to face, as opposed to working in a laboratory, consultative or non-clinical role, from the registration questionnaire (Supplement S1).",binary,0 = 2941; 1 = 1788,4729,0,"1 = face-to-face examination, 0 = not. 150 of 304 registrants; 112 of the 248 reporters, which is the occupational subgroup (cohort_112_primary).","M1, M4, M7; defines the 112 subgroup, M5",yes,,Described in this appendix
02_PersonWeeks,sees_patients,"This shows whether the physician examines patients in person, or instead works in a non-clinical role or as a consultant without direct patient contact.",categorical (text),Primer (yüz yüze) hasta muayene etmeyen - Klinik olmayan alan veya Konsültan (hasta ile doğrudan temas yok) = 2941; Primer (yüz yüze) hasta muayene eden hekim = 1788,4729,0,Taken directly from the recorded response,,no,source or intermediate form of sees_pat; the analysis uses sees_pat,Documented in the project codebook
02_PersonWeeks,sex,This column shows whether the physician is female (Kadın) or male (Erkek).,categorical (text),Kadın = 2939; Erkek = 1790,4729,0,Taken directly from the recorded response,cohort description,yes,,Described in this appendix
02_PersonWeeks,smoker_current,"Whether the physician currently uses tobacco, from the tobacco question on the registration questionnaire (Supplement S1).",binary,0 = 3872; 1 = 857,4729,0,"1 = current use (daily or occasional), 0 = never or former. 61 of 304; 49 of the 248 reporters.","M4, M5",yes,,Described in this appendix
02_PersonWeeks,smoker_regular,"1 if the physician uses tobacco every day, as opposed to occasionally or not at all.",binary,0 = 4375; 1 = 354,4729,0,"DERIVED from tobacco_status, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",,no,source or intermediate form of smoker_current; the analysis uses smoker_current,Described in this appendix
02_PersonWeeks,social_risk_score,"How many kinds of out-of-household close contact the physician has on a typical day - with more than ten children, more than ten adults aged 18 to 65, and more than ten people aged 65 or over - from the registration questionnaire (Supplement S1).",ordinal,0 = 1320; 1 = 3009; 2 = 299; 3 = 101,4729,0,"Sum of the three contact indicators, 0 to 3. Defined for the 248 reporters (0: 78, 1: 147, 2: 17, 3: 6); the 56 never-reporters are missing on this variable in 01_Physicians. Three physicians carry a score with the three component indicators blank, so the score cannot be recomputed from its components for those records.",M5; descriptive covariate profile (Table 3.15),yes,,Documented in this appendix
02_PersonWeeks,sought_care,"Whether the physician reported having sought health care for an influenza-like illness in the previous season, on the registration questionnaire (Supplement S1).",binary,0 = 3607; 1 = 1122,4729,0,"1 = at least one outpatient, emergency or inpatient contact; 0 = self-managed or no illness needing treatment.","M1, M5",yes,,Described in this appendix
02_PersonWeeks,source_healthcare,"This shows whether the flu case was linked to a healthcare setting, like a clinic or hospital, rather than another source.",binary,0 = 70; 1 = 27,97,4632,"DERIVED from source_text, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",attributed-source description (Figure 3.2.2),yes,,Documented in the project codebook
02_PersonWeeks,source_household,"This shows whether the flu case was likely caught from someone else in the same household, based on 39 cases marked yes and 58 marked no.",binary,0 = 58; 1 = 39,97,4632,"DERIVED from source_text, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",attributed-source description (Figure 3.2.2),yes,,Documented in the project codebook
02_PersonWeeks,source_social,"This shows whether the doctor first heard about flu cases through social media, with 28 saying yes and 69 saying no.",binary,0 = 69; 1 = 28,97,4632,"DERIVED from source_text, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",attributed-source description (Figure 3.2.2),yes,,Documented in the project codebook
02_PersonWeeks,source_text,"This shows how people think they were exposed, such as contact with a sick household member, healthcare settings, other outside contact, or not being sure.",categorical (text),"Hanehalkında semptomları olan biri ile temas = 33; Sağlık hizmeti veya hanehalkı dışında başka bir kaynakla temas (örn. sosyal ortam) = 22; Sağlık hizmeti ile ilişkili (Hastane; klinik; hasta teması vb.) = 18; Bilmiyorum / emin değilim = 14; Sağlık hizmeti ile ilişkili (Hastane; klinik; hasta teması vb.), Hanehalkında semptomları olan biri ile temas = 4; Sağlık hizmeti ile ilişkili (Hastane; klinik; hasta teması vb.), Sağlık hizmeti veya hanehalkı dışında başka bir kaynakla temas (örn. sosyal ortam) = 3; Hanehalkında semptomları olan biri ile temas, Sağlık hizmeti veya hanehalkı dışında başka bir kaynakla temas (örn. sosyal ortam) = 1; Sağlık hizmeti ile ilişkili (Hastane; klinik; hasta teması vb.); Sağlık hizmeti veya hanehalkı dışında başka bir kaynakla temas (örn. sosyal ortam) = 1; Sağlık hizmeti ile ilişkili (Hastane; klinik; hasta teması vb.), Hanehalkında semptomları olan biri ile temas, Sağlık hizmeti veya hanehalkı dışında başka bir kaynakla temas (örn. sosyal ortam) = 1",97,4632,Taken directly from the recorded response,attributed-source description (Figure 3.2.2),yes,,Documented in the project codebook
02_PersonWeeks,source_unknown,"This shows whether the doctor could not identify where the flu came from, with 14 cases marked as unknown source and 83 marked as known.",binary,0 = 83; 1 = 14,97,4632,"DERIVED from source_text, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",attributed-source description (Figure 3.2.2),yes,,Documented in the project codebook
02_PersonWeeks,symptom_duration_days,"This shows how many days a person's flu symptoms lasted, from as short as 1 day to as long as 21 days.",count,"numeric, 1 to 21; median 4 (IQR 3-6)",97,4632,Taken directly from the recorded response,clinical-course description (Table 3.10),yes,,Documented in the project codebook
02_PersonWeeks,symptom_raw,"The physician's own weekly answer, exactly as recorded: HAYIR = no symptoms, EVET = a new illness started, EVET2 = an illness that had already started is still going.",categorical (text),HAYIR = 4129; EVET = 497; EVET2 = 103,4729,0,Derived variable constructed for analysis,,no,source or intermediate form of new_episode; the analysis uses new_episode,Described in this appendix
02_PersonWeeks,symptom_status,"The weekly answer in English: none = no symptoms, new = a new illness started this week, ongoing = an illness from an earlier week continues.",categorical (text),none = 4129; new = 497; ongoing = 103,4729,0,"DERIVED from symptom_raw, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",,no,source or intermediate form of symptomatic; the analysis uses symptomatic,Documented in the project codebook
02_PersonWeeks,symptom_week_cluster,"This person's symptoms happened during time period ""B"", which was the most common period among those observed in the study.",categorical (text),B = 428; A = 97; C = 50; D = 25,600,4129,"DERIVED from agent_cluster, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",cluster assignment of symptomatic weeks,yes,,Described in this appendix
02_PersonWeeks,symptomatic,"Whether the physician reported influenza-like-illness symptoms in that week, whether or not the week began a new episode.",binary,0 = 4129; 1 = 600,4729,0,"1 = symptoms reported, 0 = none. 600 of 4,729 person-weeks.",M10,yes,,Described in this appendix
