analysis,code,pseudocode
A37 — Vaccinated-versus-unvaccinated covariate balance,"rep = phys[phys.reported == 1]
V, U = rep[rep.vax == 1], rep[rep.vax == 0]
ITEMS = [(""comp_risk_any_nan"", ""any health condition conferring complication risk"", True),
         (""school_kids_any"", ""household school-age child"", True),
         (""age"", ""age, years (mean)"", False), (""female"", ""female"", True),
         (""university"", ""university hospital"", True),
         (""sees_pat"", ""performs face-to-face examination"", True),
         (""ili_freq_ord4"", ""susceptibility (ordinal mean)"", False),
         (""prev_vax"", ""prior-season vaccination"", True),
         (""hh"", ""household size (mean)"", False)]
rows = []
for v, lab, binary in ITEMS:
    a, b = V[v].dropna(), U[v].dropna()
    fmt = (lambda s: f""{100*s.mean():.1f}%"") if binary else (lambda s: f""{s.mean():.2f}"")
    rows.append(dict(characteristic=lab, vaccinated=fmt(a), unvaccinated=fmt(b),
                     SMD=round(smd(a, b, binary), 4),
                     in_adjustment_set=v in (""age"", ""school_kids_any"", ""ili_freq_ord4"")))
print(f""vaccinated {len(V)}, unvaccinated {len(U)}"")
print(pd.DataFrame(rows).to_string(index=False))
resid = [r[""characteristic""] for r in rows
         if abs(r[""SMD""]) > 0.10 and not r[""in_adjustment_set""]]
print(""\nimbalanced (|SMD| > 0.10) and NOT in the adjustment set — residual-confounding ""
      ""concerns: "" + (""; "".join(resid) if resid else ""none""))
record(""A37"", comorbidity_vax=100*V.comp_risk_any_nan.mean(),
       comorbidity_unvax=100*U.comp_risk_any_nan.mean(),
       children_vax=100*V.school_kids_any.mean(), children_unvax=100*U.school_kids_any.mean(),
       n_residual=len(resid))","1. Vaccination was not randomised, so the vaccinated and unvaccinated groups may differ on the covariates the model adjusts for.
2. Compare the two groups over the pre-specified adjustment set and the main baseline characteristics, as proportions or means with standardized mean differences.
3. Any imbalance the model adjusts for is handled; an imbalance on a variable the model does not carry is a residual-confounding concern and is named as such."
A37 — Vaccinated-versus-unvaccinated covariate balance,"bal_vars <- c(""age10"", ""female"", ""university"", ""sees_pat"", ""comp_risk_any_nan"",
              ""school_kids_any"", ""ili_freq_ord4"", ""prev_vax"", ""hh"")
out <- data.frame()
for (v in bal_vars) {
  x1 <- rep248[[v]][rep248$vax == 1]; x0 <- rep248[[v]][rep248$vax == 0]
  m1 <- mean(x1, na.rm = TRUE); m0 <- mean(x0, na.rm = TRUE)
  sp <- sqrt((var(x1, na.rm = TRUE) + var(x0, na.rm = TRUE)) / 2)
  out <- rbind(out, data.frame(variable = v, vaccinated = m1, n_vax = sum(!is.na(x1)),
                               unvaccinated = m0, n_unvax = sum(!is.na(x0)),
                               SMD = (m1 - m0) / sp))
}
print(format(out, digits = 4))","1. Compare the pre-specified baseline covariates between physicians who reported a current-season vaccination and those who did not, at physician level over the reporting cohort.
2. Print the mean or proportion in each group with the group denominators, and the standardized mean difference, computed with the pooled standard deviation so binary and continuous variables are on one scale.
3. This is a balance description, not a test-based screen. It shows which pre-specified adjustments carry weight in the vaccine contrast — particularly the health-condition item and household school-age children."
A44 — Detrended and first-difference concordance checks,"t = np.arange(N_WEEKS)
def detrended(s, m):
    x, y = t[m], np.asarray(s)[m]
    r = stats.linregress(x, y)
    return y - (r.intercept + r.slope * x)
rows = []
for lab, m in [(""pre-epidemic"", PRE), (""epidemic"", EPI),
               (""early-warning window"", EARLY), (""full season"", SEASON)]:
    lvl = stats.pearsonr(np.asarray(PART_SM)[m], np.asarray(SENT_SM)[m])[0]
    det = stats.pearsonr(detrended(PART_SM, m), detrended(SENT_SM, m))[0]
    dp, ds = np.diff(np.asarray(PART_SM)), np.diff(np.asarray(SENT_SM))
    md = m[1:]
    fd = stats.pearsonr(dp[md], ds[md])[0]
    rows.append(dict(window=lab, n=int(m.sum()), level=round(lvl, 5),
                     detrended=round(det, 5), first_difference=round(fd, 5)))
print(pd.DataFrame(rows).to_string(index=False))
print(""\nwhere the first-difference coefficient falls well below the level coefficient, ""
      ""the agreement rests mainly on the shared seasonal trend"")
record(""A44"", pre_detrended=rows[0][""detrended""], ew_detrended=rows[2][""detrended""],
       ew_first_diff=rows[2][""first_difference""])","1. Both series rise and fall over the season, so part of their correlation may be a shared trend rather than week-to-week co-movement.
2. Remove a linear trend from each series within the window under test and correlate the residuals.
3. Separately correlate the first differences, which is the strictest form of the question: do the two series move together from one week to the next?
4. Report both beside the level correlation. A first-difference coefficient much smaller than the level coefficient means the agreement is largely in the trend."
A45 — Complete-window smoothing sensitivity,"p_partial, s_partial = cma3(part_share), cma3(sent_share)
p_complete = pd.Series(part_share).rolling(3).mean()
s_complete = pd.Series(sent_share).rolling(3).mean()
m = p_complete.notna().values
r_part = stats.pearsonr(p_partial, s_partial)
r_comp = stats.pearsonr(p_complete[m], s_complete[m])
print(f""partial windows retained (specification of record)  r = {r_part[0]:+.5f}, ""
      f""p = {r_part[1]:.6f}, n = {N_WEEKS}"")
print(f""complete windows only                               r = {r_comp[0]:+.5f}, ""
      f""p = {r_comp[1]:.6f}, n = {int(m.sum())}"")
print(f""difference  {r_comp[0]-r_part[0]:+.5f} — the convention is stated wherever the ""
      ""coefficient is reported"")
record(""A45"", r_partial=float(r_part[0]), r_complete=float(r_comp[0]), n_complete=int(m.sum()))","1. The causal three-week average retains partial windows in the season's first two weeks, where fewer than three weeks are available. That retention is part of the specification.
2. Refit the full-season correlation using complete three-week windows only, which drops those two weeks.
3. Report both, since dropping partial windows moves the coefficient materially and the reader must see which convention produced which number."
A48 — Pairing-broken resampling comparison,"s_broken = peak_lag_bootstrap(PART_SM, SENT_SM, seed=20260707, preserve_pairing=False)
vc_b = s_broken.value_counts(normalize=True)
s_ok = peak_lag_bootstrap(PART_SM, SENT_SM, seed=20260707, preserve_pairing=True)
vc_o = s_ok.value_counts(normalize=True)
print(""pairing-broken procedure (resample the index, then form pairs)"")
print(f""  modal lag {int(s_broken.mode().iloc[0]):+d} in ""
      f""{100*vc_b.iloc[0]:.1f}% of resamples; lag 0 in {100*vc_b.get(0,0):.1f}%"")
print(""procedure of record (form pairs, then resample pairs)"")
print(f""  modal lag {int(s_ok.mode().iloc[0]):+d} in ""
      f""{100*vc_o.iloc[0]:.1f}% of resamples; lag 0 in {100*vc_o.get(0,0):.1f}%"")
print(""\nthe pairing-broken procedure concentrates the peak at lag 0 in the large ""
      ""majority of resamples. That concentration is an artefact of destroying the ""
      ""lag pairing, not evidence of synchrony; the lag-preserving procedure is the ""
      ""procedure of record."")
record(""A48"", broken_modal=int(s_broken.mode().iloc[0]), broken_lag0=100*vc_b.get(0, 0),
       ok_modal=int(s_ok.mode().iloc[0]), ok_lag0=100*vc_o.get(0, 0))","1. An alternative bootstrap resamples the week INDEX first and only then forms the lagged pairs. This looks similar but destroys the pairing that the lag procedure is about: after resampling, a week's neighbour at lag L is no longer the week that was actually L weeks away.
2. Run it and report the result, then state plainly that the concentration it produces at lag zero is an artefact of the procedure and not a finding.
3. The lag-preserving procedure — pairs formed first, then pairs resampled — is the procedure of record."
A57 — CUSUM reset-rule equivalence check,"def nb_cusum_rule(counts, h, rule=""reset"", base=BASELINE_WEEKS,
                  mult=NBCUSUM_MULT, warm=WARMUP_WEEKS):
    """"""rule: 'reset' zeroes the accumulator after an alarm (the rule of record);
    'persist' leaves it running and alarms in every week it stays above h;
    'upcross' leaves it running but alarms only when it first crosses h.""""""
    y = np.asarray(counts, float); n = len(y); a = np.zeros(n, int); S = prev = 0.0
    for t in range(warm, n):
        b = y[t - base:t]
        mu0 = np.nanmean(b); v = np.nanvar(b, ddof=1)
        if not np.isfinite(mu0) or mu0 <= 0:
            continue
        size = 1.0 / max((v - mu0) / mu0 ** 2, 1e-8)
        mu1 = mult * mu0
        S = max(0.0, S + (stats.nbinom.logpmf(y[t], size, size / (size + mu1))
                          - stats.nbinom.logpmf(y[t], size, size / (size + mu0))))
        if rule == ""reset"":
            if S > h:
                a[t] = 1; S = 0.0
        elif rule == ""persist"":
            if S > h:
                a[t] = 1
        else:
            if S > h and prev <= h:
                a[t] = 1
        prev = S
    return a

rows = []
for series_lab, y, h0 in [(""participatory A-cluster count"", PART_COUNTS,
                           NBCUSUM_H_PARTICIPATORY),
                          (""sentinel positive count"", SENT_COUNTS,
                           NBCUSUM_H_SENTINEL)]:
    for f in (1.0, 1.5, 2.0):
        h = round(h0 * f, 4)
        A_r = set(WEEKS[nb_cusum_rule(y, h, ""reset"") == 1])
        A_p = set(WEEKS[nb_cusum_rule(y, h, ""persist"") == 1])
        A_u = set(WEEKS[nb_cusum_rule(y, h, ""upcross"") == 1])
        idx = sorted(list(WEEKS).index(x) for x in A_r)
        rows.append(dict(series=series_lab, h=h, multiple_of_calibrated=f,
                         n_reset=len(A_r), n_persist=len(A_p), n_upcross=len(A_u),
                         reset_eq_persist=A_r == A_p, reset_eq_upcross=A_r == A_u,
                         consecutive_reset_alarms=bool(len(idx) > 1
                                                       and np.any(np.diff(idx) == 1))))
E = pd.DataFrame(rows)
print(E.to_string(index=False))
print(f""\nreset and persistent-accumulator rules give identical alarm sets in ""
      f""{int(E.reset_eq_persist.sum())} of {len(E)} parameter combinations"")
print(f""reset and first-upcrossing rules agree in {int(E.reset_eq_upcross.sum())} of {len(E)}"")
print(f""consecutive alarm weeks occur under the reset rule in ""
      f""{int(E.consecutive_reset_alarms.sum())} of {len(E)} combinations"")
print(""\nThe rules coincide only where no alarm falls in consecutive weeks. At the ""
      ""calibrated decision intervals the accumulated log-likelihood ratio stays above ""
      ""the interval for several weeks on both count series, so the rules diverge: the ""
      ""persistent accumulator keeps alarming while it remains above the interval and ""
      ""the first-upcrossing rule alarms once per excursion. The reset rule is the rule ""
      ""of record and is stated wherever an alarm set is reported."")
record(""A57"", n_identical_persist=int(E.reset_eq_persist.sum()),
       n_identical_upcross=int(E.reset_eq_upcross.sum()), n_combinations=len(E),
       n_consecutive=int(E.consecutive_reset_alarms.sum()))","1. THE RULE OF RECORD IS THE RESET: the negative-binomial CUSUM zeroes its accumulator
   after an alarm, so one excursion above the decision interval raises one alarm. This
   block exists to show what that clause is worth, by scoring the alternatives beside it.
2. The alternatives are the persistent accumulator, which keeps the statistic running and
   alarms in every week it stays above the interval, and the first-upcrossing rule, which
   keeps it running but alarms only in the week it first crosses. If two alarms never fall
   in consecutive weeks the three rules can coincide; if the accumulator stays above the
   interval for several weeks they do not.
3. Compare the alarm sets under all three rules across a grid of decision intervals around
   each series' own calibrated value, on both series.
4. Report whether the sets are identical in every combination, and whether any alarm falls
   in consecutive weeks, since that is the condition under which the rules can agree. THE
   RESET IS LOAD-BEARING AT THE CALIBRATED INTERVALS: the accumulated log-likelihood ratio
   stays above the interval for several weeks on both count series, so the persistent
   accumulator raises many more alarms than the reset rule does and the rules are not
   interchangeable."
A58 — Specification curve for alarm concordance,"QUANTITIES = {
    ""A-cluster positivity (%)"": (part_share.values,
                                 sent_share.values),
    ""weekly count"":             (wk.n_new_A.values.astype(float),
                                 wk.sb_positive_cases.values.astype(float)),
    ""rate per 100"":             (100 * wk.n_new_A.values / wk.n_reporters.values,
                                 100 * wk.sb_positive_cases.values / wk.sb_ili_consultations.values)}
SMOOTHINGS = (""raw"", ""causal MA-3"", ""symmetric MA-3"")
BASELINES, THRESHOLDS, CONSENSUS = (5, 7), (2.0, 3.0), (1, 2)
# Scoring windows. The early-warning window is the window of record for this curve:
# the alarm analysis exists to describe performance BEFORE and DURING the wave.
SCORING = [(""early-warning window (19 weeks)"", EARLY),
           (""full season (33 weeks)"", SEASON)]

def smooth_series(x, kind):
    x = np.asarray(x, float)
    if kind == ""raw"":
        return x
    # min_periods = 1 throughout, the same convention as cma3() in the setup cell and
    # therefore the same series the specification of record is run on.
    return pd.Series(x).rolling(3, min_periods=1,
                                center=(kind == ""symmetric MA-3"")).mean().values

def kappa_on(x, y, m):
    xs, ys = x[m], y[m]
    if xs.std() == 0 and ys.std() == 0:
        return np.nan
    return round(float(cohen_kappa_score(xs, ys)), 5)

rows = []
for q_lab, (pq, sq) in QUANTITIES.items():
    for sm_lab in SMOOTHINGS:
        for base in BASELINES:
            for thr in THRESHOLDS:
                dp = detector_panel(smooth_series(pq, sm_lab), PART_COUNTS,
                                    NBCUSUM_H_PARTICIPATORY, base=base, thr=thr)
                ds = detector_panel(smooth_series(sq, sm_lab), SENT_COUNTS,
                                    NBCUSUM_H_SENTINEL, base=base, thr=thr)
                for cons in CONSENSUS:
                    key = ""any"" if cons == 1 else ""two""
                    x, y = dp[key], ds[key]
                    r = dict(spec_id=len(rows) + 1, measured_quantity=q_lab,
                             smoothing=sm_lab, baseline_weeks=base, sd_threshold=thr,
                             consensus_rule=f"">={cons}"",
                             n_part_alarms=int(x.sum()), n_sent_alarms=int(y.sum()))
                    for w_lab, m in SCORING:
                        r[f""kappa — {w_lab}""] = kappa_on(x, y, m)
                    rows.append(r)
SC = pd.DataFrame(rows)
SC[""is_specification_of_record""] = ((SC.measured_quantity == ""A-cluster positivity (%)"")
                                    & (SC.smoothing == ""causal MA-3"")
                                    & (SC.baseline_weeks == 7) & (SC.sd_threshold == 3.0)
                                    & (SC.consensus_rule == "">=1""))
print(f""{len(SC)} specifications enumerated ""
      f""({len(QUANTITIES)} quantities x {len(SMOOTHINGS)} smoothings x ""
      f""{len(BASELINES)} baseline lengths x {len(THRESHOLDS)} thresholds x ""
      f""{len(CONSENSUS)} consensus rules)"")

summary = []
for w_lab, _ in SCORING:
    col = f""kappa — {w_lab}""
    k = SC[col].dropna()
    q1, q3 = k.quantile([0.25, 0.75])
    mx, mn = SC.loc[SC[col].idxmax()], SC.loc[SC[col].idxmin()]
    lock_k = float(SC.loc[SC.is_specification_of_record, col].iloc[0])
    def spec_str(r):
        return (f""{r.measured_quantity}, {r.smoothing}, {r.baseline_weeks}-week baseline, ""
                f""{r.sd_threshold} SD, consensus {r.consensus_rule}"")
    print(f""\n--- scored on the {w_lab}"")
    print(f""    median {k.median():.4f}   range {k.min():.4f} to {k.max():.4f}   ""
          f""interquartile range {q1:.4f} to {q3:.4f}"")
    print(f""    substantial agreement (kappa >= 0.60)  {100*(k>=0.60).mean():.1f}%"")
    print(f""    fair or poor (kappa < 0.40)            {100*(k<0.40).mean():.1f}%"")
    print(f""    maximum  {mx[col]:.5f}  {spec_str(mx)}"")
    print(f""    minimum  {mn[col]:.5f}  {spec_str(mn)}"")
    print(f""    the specification of record sits at {lock_k:.5f}, above ""
          f""{100*(k<lock_k).mean():.0f}% of the curve, tied with ""
          f""{int((abs(k-lock_k)<1e-9).sum())-1} other specifications"")
    summary.append(dict(scoring_window=w_lab, n_specifications=len(k),
                        median=round(float(k.median()), 5), minimum=round(float(k.min()), 5),
                        maximum=round(float(k.max()), 5), iqr_lower=round(float(q1), 5),
                        iqr_upper=round(float(q3), 5),
                        pct_at_or_above_0_60=round(100*float((k >= 0.60).mean()), 4),
                        pct_below_0_40=round(100*float((k < 0.40).mean()), 4),
                        specification_at_maximum=spec_str(mx),
                        specification_at_minimum=spec_str(mn),
                        kappa_of_specification_of_record=lock_k,
                        n_tied_with_specification_of_record=int((abs(k-lock_k)<1e-9).sum())-1))
    for lab, c in [(""measured quantity"", ""measured_quantity""),
                   (""smoothing convention"", ""smoothing""),
                   (""consensus rule"", ""consensus_rule"")]:
        print(f""\n    median kappa by {lab}"")
        print(SC.groupby(c)[col].agg([""median"", ""min"", ""max"", ""count""]).round(4).to_string())

SUMMARY = pd.DataFrame(summary)
print(""\nInternal consistency: in each scoring window the grid row carrying the ""
      ""specification of record equals the value that same specification produces in the ""
      ""aberration panel (A56):"")
print(f""  full season          grid {float(SC.loc[SC.is_specification_of_record, 'kappa — full season (33 weeks)'].iloc[0]):.5f}  ""
      f""panel {CONCORD_ROWS['full season']['kappa']:.5f}"")
print(f""  early-warning window grid {float(SC.loc[SC.is_specification_of_record, 'kappa — early-warning window (19 weeks)'].iloc[0]):.5f}  ""
      f""panel {CONCORD_ROWS['early-warning window (pre-epidemic and epidemic, 19 weeks)']['kappa']:.5f}"")

SC.to_csv(""spec_curve_corrected.csv"", index=False)
SUMMARY.to_csv(""spec_curve_summary.csv"", index=False)
record(""A58"", n_specs=len(SC), **{f""{k}_{r['scoring_window'][:5]}"": v
       for r in summary for k, v in r.items() if isinstance(v, (int, float))})
SPEC_CURVE, SPEC_SUMMARY = SC, SUMMARY","1. Enumerate every defensible specification of the alarm-concordance analysis rather
   than reporting one. The enumeration is the product set carried by the aberration
   analysis: three measured quantities, three smoothing conventions, two baseline
   lengths, two standard-deviation thresholds and two consensus rules, giving
   seventy-two specifications.
2. The three measured quantities are the A-cluster share of incident episodes against
   sentinel positivity, which is the pair of record; the all-ILI weekly count of each
   system, that is every cleaned incident episode against every positive specimen; and
   a per-denominator rate, A-cluster episodes per hundred reporters against positive
   specimens per hundred consultations.
3. The three smoothing conventions are the raw weekly series, the causal three-week
   average of record and a symmetric three-week average. Each specification is built from
   the UNSMOOTHED quantity and smoothed once, so no series is smoothed twice. The partial
   windows at the season's opening and closing are RETAINED under all three conventions,
   which is the convention the panel of record is produced under; dropping them instead
   costs the participatory chart its closing-week alarm and the sentinel chart its
   2025-W52 alarm. Complete-window smoothing is scored as its own sensitivity analysis,
   not silently inside this grid.
4. In each specification run the whole six-detector bank on both series, with the
   specification's own baseline length and standard-deviation threshold in force, and
   compute Cohen's kappa between the two consensus alarm series. The negative-binomial
   CUSUM keeps its series-specific calibrated decision intervals throughout, since
   those were calibrated on the count series and not on the quantity under variation.
5. Score every specification on the full thirty-three-week season, which is the window
   of record for this curve, and on the nineteen-week early-warning window alongside.
6. Report the median, the range, the interquartile range, the share reaching
   substantial agreement at or above 0.60 and the share below 0.40, and identify the
   specifications producing the maximum and the minimum.
7. Report the median kappa separately by measured quantity, smoothing convention and
   consensus rule; locate the specification of record on the curve by its rank; and
   name every specification that scores above it, with the margin by which it does."
A59 — Alarm-window influence of the sparse closing week,"a, b = D_PART[""any""], D_SENT[""any""]
k_all = cohen_kappa_score(a, b)
m = np.r_[np.ones(N_WEEKS - 1, bool), False]
k_excl = cohen_kappa_score(a[m], b[m])
print(f""full season, all {N_WEEKS} weeks (value of record)  kappa {k_all:.5f}"")
print(f""omitting the flagged closing week {WEEKS[-1]}, {int(m.sum())} weeks  ""
      f""kappa {k_excl:.5f}"")
print(f""the flagged week costs {k_excl-k_all:+.5f} of kappa; it carries a participatory ""
      ""alarm the sentinel series does not"")
print(""\nthe closing week is retained in every reported analysis; this block discloses its ""
      ""influence and does not remove it"")

ALARM_COMPARISON = pd.DataFrame({
    ""week"": WEEKS,
    ""participatory_n_detectors"": D_PART[""n_detectors""],
    ""participatory_alarm"": D_PART[""any""],
    ""participatory_alarm_two_of_six"": D_PART[""two""],
    ""sentinel_n_detectors"": D_SENT[""n_detectors""],
    ""sentinel_alarm"": D_SENT[""any""],
    ""sentinel_alarm_two_of_six"": D_SENT[""two""],
    ""phase"": np.select([PRE, EPI, POST], [""pre-epidemic"", ""epidemic"", ""post-epidemic""],
                       default=""unassigned""),
    ""in_early_warning_window_19wk"": EARLY.astype(int),
    ""in_2025_calendar_portion_13wk"": EARLY_2025.astype(int),
    ""agree"": (D_PART[""any""] == D_SENT[""any""]).astype(int)})
ALARM_COMPARISON.to_csv(""alarm_comparison_by_week.csv"", index=False)
print(f""\nweek-by-week alarm comparison written for all {N_WEEKS} weeks; ""
      f""the two series agree in {int(ALARM_COMPARISON.agree.sum())} of {N_WEEKS}"")
record(""A59"", kappa_all=float(k_all), kappa_excl=float(k_excl))","1. The final week of the season is flagged by the sparse-week rule and it carries a participatory alarm that the sentinel series does not.
2. Recompute the full-season agreement with that week omitted, and report both values.
3. This is influence disclosure, not exclusion: the value of record is the one computed on all thirty-three weeks.
4. Write the week-by-week alarm comparison for all thirty-three weeks, carrying the per-detector count, the consensus alarm under both rules and the phase of each week."
A64 — IPRW re-estimation of the primary incidence model,"P = pw.copy()
P[""weight""] = P.participant_id.map(STAB_WEIGHTS).fillna(1.0)
wt = CoxTimeVaryingFitter().fit(
    P[[""participant_id"", ""tstart"", ""tstop"", ""event""] + AG_COV + [""weight""]],
    id_col=""participant_id"", event_col=""event"", start_col=""tstart"", stop_col=""tstop"",
    weights_col=""weight"", show_progress=False)
ci = np.exp(AG_UNWEIGHTED.confidence_intervals_)
comp = pd.DataFrame({
    ""HR_unweighted"": np.exp(AG_UNWEIGHTED.params_[AG_COV]),
    ""HR_IPRW"": np.exp(wt.params_[AG_COV]),
    ""unweighted_CI_width"": (ci.iloc[:, 1] - ci.iloc[:, 0])[AG_COV].values})
comp[""abs_shift""] = (comp.HR_IPRW - comp.HR_unweighted).abs()
comp[""shift_pct_of_CI_width""] = 100 * comp.abs_shift / comp.unweighted_CI_width
print(""weights are applied to a model whose estimates of record are unweighted"")
print(comp.round(5).to_string())
big = comp.shift_pct_of_CI_width.idxmax()
print(f""\nlargest shift: {big} at {comp.shift_pct_of_CI_width.max():.1f}% of that ""
      ""coefficient's own unweighted interval width"")
print(""no coefficient moves by an amount comparable to its own uncertainty, so the ""
      ""unweighted estimates stand"")
record(""A64"", largest_shift_pct=float(comp.shift_pct_of_CI_width.max()),
       largest_shift_term=str(big),
       shifts={k: float(v) for k, v in comp.shift_pct_of_CI_width.items()})","1. Inverse-probability-of-reporting weighting is a SENSITIVITY ANALYSIS, not the estimation method. The estimates of record are unweighted.
2. Attach each physician's stabilized reporting weight to every one of that physician's person-weeks and refit the incidence specification with those weights.
3. Compare each weighted coefficient with its unweighted counterpart, and express the shift as a percentage of that coefficient's OWN unweighted interval width, which is the scale on which a shift is or is not material."
A69 — Overdispersion sensitivity for the gradient,"D, FULL = PHYS_LEVEL, GRADIENT_FORMULA
TERMS = [""weeks10"", ""age10"", ""school_kids_any"", ""ili_freq_ord4""]
po = smf.glm(FULL, data=D, family=sm.families.Poisson(),
             offset=np.log(D.at_risk)).fit(cov_type=""HC0"")
nbf = sm.NegativeBinomial(D.episodes, sm.add_constant(D[TERMS]),
                          offset=np.log(D.at_risk), loglike_method=""nb2"").fit(disp=0)
po_plain = smf.glm(FULL, data=D, family=sm.families.Poisson(),
                   offset=np.log(D.at_risk)).fit()
out = pd.DataFrame({
    ""IRR_Poisson_robust"": np.exp(po.params[TERMS]),
    ""p_Poisson_robust"": po.pvalues[TERMS],
    ""IRR_negative_binomial"": np.exp(nbf.params[TERMS]),
    ""p_negative_binomial"": nbf.pvalues[TERMS]}).round(5)
print(out.to_string())
alpha = nbf.params[""alpha""]
lr = 2 * (nbf.llf - po_plain.llf)
print(f""\ndispersion parameter alpha  {alpha:.5f} (SE {nbf.bse['alpha']:.5f})"")
print(f""overdispersion likelihood-ratio test  chi-square {lr:.4f}, ""
      f""p = {0.5*stats.chi2.sf(lr,1):.2e} (one-sided, boundary parameter)"")
print(f""Pearson dispersion of the Poisson fit  {po_plain.pearson_chi2/po_plain.df_resid:.4f}"")
print(""\nthe two families agree in direction and magnitude, so the gradient does not ""
      ""depend on how the extra variance is handled"")
record(""A69"", irr_poisson=float(np.exp(po.params[""weeks10""])),
       irr_nb=float(np.exp(nbf.params[""weeks10""])), alpha=float(alpha), lr=float(lr))","1. The reporting-intensity gradient of record is an offset Poisson fit with robust variance, which is consistent under overdispersion.
2. Refit the same specification as a negative-binomial model, which models the extra variance rather than correcting the standard errors for it.
3. Report both, plus the dispersion parameter and the formal overdispersion test. This block has no single scalar target; it is a comparison of two fits."
A69 — Overdispersion sensitivity for the gradient,"fit_grad_nb <- glm.nb(as.formula(paste(""n_ep ~"", GRAD_RHS)), data = ph_lvl)
sg <- summary(fit_grad_nb); bg <- coef(fit_grad_nb); sgs <- sg$coefficients[, 2]
print(round(cbind(IRR = exp(bg), lower95 = exp(bg - 1.96 * sgs), upper95 = exp(bg + 1.96 * sgs),
                  p = sg$coefficients[, 4]), 5))
cat(sprintf(""\nnegative-binomial size = %.4f (se %.4f)\n"", fit_grad_nb$theta, fit_grad_nb$SE.theta))
cat(sprintf(""likelihood ratio against Poisson : chi-square = %.4f\n"",
            2 * as.numeric(logLik(fit_grad_nb) - logLik(fit_grad))))
cat(sprintf(""gradient per ten more reported weeks : Poisson with robust variance %.4f, negative binomial %.4f\n"",
            exp(coef(fit_grad)[""nwk10""]), exp(coef(fit_grad_nb)[""nwk10""])))
cat(""this analysis carries no single scalar target of record; it is a dispersion sensitivity\n"")","1. Refit the reporting-intensity gradient on exactly the same specification and offset as a negative-binomial regression, which estimates a dispersion parameter instead of relying on a robust variance to absorb extra-Poisson variation.
2. Report the incidence-rate ratios, the size parameter with its standard error, and the likelihood-ratio statistic against the Poisson fit.
3. This analysis has NO single scalar target of record; it is reported to show that the gradient does not depend on how dispersion is handled. Compare the gradient with the robust-variance Poisson estimate from the previous block."
A72 — Risk-set sensitivity of the post-gap odds ratio,"at_risk = pw[pw.at_risk_new_episode == 1]
not_first = ~pw.is_first_week
SETS = [(""at-risk weeks after the first observed week (risk set of record)"",
         at_risk[~at_risk.is_first_week]),
        (""all at-risk weeks, including each first week"", at_risk),
        (""risk set of record, excluding the final season week"",
         at_risk[(~at_risk.is_first_week) & (at_risk.week_idx < pw.week_idx.max())]),
        (""all filed weeks after the first observed week"", pw[not_first])]
rows = []
for lab, sub in SETS:
    ct = pd.crosstab(sub.gap_before_derived, sub.new_episode)
    orv = (ct.loc[1, 1] * ct.loc[0, 0]) / (ct.loc[1, 0] * ct.loc[0, 1])
    se = np.sqrt(sum(1 / ct.values.flatten()))
    rows.append(dict(risk_set=lab, person_weeks=len(sub),
                     physicians=sub.participant_id.nunique(),
                     events=int(sub.new_episode.sum()), crude_OR=round(orv, 4),
                     lo=round(np.exp(np.log(orv) - 1.96*se), 3),
                     hi=round(np.exp(np.log(orv) + 1.96*se), 3)))
R = pd.DataFrame(rows)
print(R.to_string(index=False))
print(f""\ncrude odds ratio ranges {R.crude_OR.min():.3f} to {R.crude_OR.max():.3f} across ""
      ""the four risk sets"")
print(""the conditional estimate of record, with a per-physician random intercept, is ""
      ""fitted in the R notebook"")
record(""A72"", or_range=[float(R.crude_OR.min()), float(R.crude_OR.max())],
       or_record=float(R.crude_OR.iloc[0]))","1. The post-gap coding comparison requires a preceding week in the physician's own record, so every physician's first observed week is outside the risk set. Several other risk sets are defensible.
2. Recompute the crude association across four risk sets: the one of record; all at-risk weeks including each first week; the risk set of record with the final season week removed; and all FILED weeks after the first observed week rather than only at-risk weeks.
3. Report the crude odds ratio in each, so the range is visible. The conditional estimate of record, which carries the physician random intercept, is fitted in the R notebook."
